date,cases,deaths
2020/8/23,5713850,176693
2020/8/24,5754254,177197
2020/8/25,5793437,178410
2020/8/26,5838756,179603
2020/8/27,5884366,180729
2020/8/28,5930930,181739
2020/8/29,5975540,182610
2020/8/30,6008970,182984
2020/8/31,6045455,183472
2020/9/1,6089504,184563
2020/9/2,6121948,185639
2020/9/3,6168342,186717
2020/9/4,6220446,187697
2020/9/5,6262700,188409
2020/9/6,6292699,188820
2020/9/7,6317865,189083
2020/9/8,6346806,189541
2020/9/9,6380138,190716
2020/9/10,6418198,191631
2020/9/11,6465766,192858
2020/9/12,6504870,193559
2020/9/13,6538213,193958
2020/9/14,6575100,194408
2020/9/15,6614317,195689
2020/9/16,6653585,196686
2020/9/17,6698895,197535
2020/9/18,6747782,198484
2020/9/19,6789593,199154
2020/9/20,6825949,199367
2020/9/21,6880899,199797
2020/9/22,6918290,200738
2020/9/23,6959841,201828
2020/9/24,7005043,202713
2020/9/25,7059624,203566
2020/9/26,7102321,204335
2020/9/27,7139619,204602
2020/9/28,7176979,204952
2020/9/29,7220676,205878
2020/9/30,7262734,206852
2020/10/1,7309152,207699
2020/10/2,7362732,208564
2020/10/3,7410511,209273
2020/10/4,7445574,209606
2020/10/5,7507986,210035
2020/10/6,7550848,210756
2020/10/7,7603865,211752
2020/10/8,7660248,212680
2020/10/9,7719210,213595
2020/10/10,7770858,214187
2020/10/11,7815641,214606
2020/10/12,7863657,214957
2020/10/13,7918051,215783
2020/10/14,7977904,216792
2020/10/15,8043257,217585
2020/10/16,8113720,218476
2020/10/17,8166481,219154
2020/10/18,8214363,219541
2020/10/19,8279803,220058
2020/10/20,8340397,220987
2020/10/21,8404634,222195
2020/10/22,8479762,223023
2020/10/23,8564893,223949
2020/10/24,8643591,224821
2020/10/25,8703303,225160
2020/10/26,8777800,225698
2020/10/27,8852197,226681
2020/10/28,8934121,227697
2020/10/29,9024915,228701
2020/10/30,9124729,229672
2020/10/31,9208964,230510
2020/11/1,9283188,230937
2020/11/2,9376927,231477
2020/11/3,9469557,232607
2020/11/4,9577440,234223
2020/11/5,9698981,235331
2020/11/6,9831853,236577
2020/11/7,9957785,237584
2020/11/8,10061201,238048
2020/11/9,10191642,238793
2020/11/10,10331382,240258
2020/11/11,10474242,241689
2020/11/12,10637733,242861
2020/11/13,10819326,244250
2020/11/14,10978447,245460
2020/11/15,11113634,246083
2020/11/16,11280088,246879
2020/11/17,11441833,248486
2020/11/18,11614116,250411
2020/11/19,11801586,252373
2020/11/20,12000258,254325
2020/11/21,12172261,255754
2020/11/22,12313295,256597
2020/11/23,12492394,257635
2020/11/24,12670684,259844
2020/11/25,12851220,262157
2020/11/26,12954324,263336
2020/11/27,13159786,264748
2020/11/28,13311031,265940
2020/11/29,13447369,266758
2020/11/30,13615129,268023
2020/12/1,13799415,270633
2020/12/2,14000601,273518
2020/12/3,14218560,276375
2020/12/4,14449741,279012
2020/12/5,14655498,281202
2020/12/6,14827657,282313
2020/12/7,15031799,283846
2020/12/8,15251704,286667
2020/12/9,15471382,289824
2020/12/10,15696634,292761
2020/12/11,15977148,295712
2020/12/12,16184592,297971
2020/12/13,16368840,299328
2020/12/14,16569913,301006
2020/12/15,16772913,304031
2020/12/16,17017946,307642
2020/12/17,17256135,310935
2020/12/18,17507582,313750
2020/12/19,17701529,316378
2020/12/20,17881332,317800
2020/12/21,18083055,319763
2020/12/22,18284729,323002
2020/12/23,18512479,326413
